,Name,new_lang,ISBN,Geocode,Adress,description
0,De Spaanse sjaal: Een keuze uit de verhalen (BBLiterair) (Dutch Edition),nl,9789023430926,"52.0806428, 5.142996100000005",Laan van Minsweerd 129 -130 Utrecht,No description is available
1,Paris Secret,en,9781447280699,"52.0806428, 5.142996100000005",Laan van Minsweerd 129 -130 Utrecht,"BRAND NEW, Exactly same ISBN as listed, Please double check ISBN carefully before ordering."
2,A Time of Day,en,9781471329470,"52.0806428, 5.142996100000005",Laan van Minsweerd 129 -130 Utrecht,"From the creator of popular radio detective Paul Temple comes this exciting novelisation of the classic TV serial A Time of Day, read by Greg Wise. The six-part series A Time of Day entertained and intrigued TV audiences in 1957, who knew that a Francis Durbridge serial was a guarantee of twists, turns, and dramatic surprises. All these and more can be found in this thrilling tale of a mysterious disappearance and a race against time...Intelligent, wealthy and leisured, Lucy and Clive Freeman have decided that their marriage is breaking up. But their plans for divorce seem trivial when they receive some shocking news: their ten-year-old daughter Janet has vanished. She was last seen leaving school with a teacher, but since then there has been no trace of her. Has she been kidnapped? Is the motive money - or some other ransom? The Freemans must put aside their differences and join forces to rescue Janet - before it is too late..."
3,GIFHOUTEN BIJBEL,nl,9789035122680,"52.0806428, 5.142996100000005",Laan van Minsweerd 129 -130 Utrecht,No description is available
4,White Privilege: Essential Readings on the Other Side of Racism,en,9781429242202,"52.0806428, 5.142996100000005",Laan van Minsweerd 129 -130 Utrecht,<p>White Privilege is an exceptional anthology that expertly presents the significance and complexity of whiteness today while illuminating the nature of privilege and power in our society.
5,Islamic Theology: Traditionalism and Rationalism,en,9780748611027,"52.0806428, 5.142996100000005",Laan van Minsweerd 129 -130 Utrecht,"The principal theological struggle in Islam has taken place between traditionalist and rationalist theologians. Assessing materials from the 3rd/9th century to the 10th/16th century, Professor Abrahamov focuses on the foundations of both traditionalism and rationalism, the arguments which the two tendencies used against each other and the compromises reached. This is a ground-breaking study by a renowned scholar and writer."
6,Spectrum Machine Code Made Easy: For Advanced Programmers v. 2,en,9780907563440,"52.0806428, 5.142996100000005",Laan van Minsweerd 129 -130 Utrecht,No description is available
7,Vectorrekening en matrixrekening (Voortgezette wiskunde),nl,9789031305599,"52.0806428, 5.142996100000005",Laan van Minsweerd 129 -130 Utrecht,No description is available
8,Allen die gestorven zijn,nl,9789400500082,"52.0806428, 5.142996100000005",Laan van Minsweerd 129 -130 Utrecht,No description is available
9,De jonge professional: hulpmiddelen voor richting en groei,nl,9789082316209,"52.0806428, 5.142996100000005",Laan van Minsweerd 129 -130 Utrecht,No description is available
10,The Radiant Way,en,9780140101683,"52.0806428, 5.142996100000005",Laan van Minsweerd 129 -130 Utrecht,"Twenty five years ago Liz, Alix and Esther were leading lights at Cambridge. Now they meet as old friends at a glittering New Year's Eve party to welcome in the 1980s. It is the dawn of the Thatcher era, and Britain is on the brink of great social and political upheaval. How will these three ambitious and confident middle-aged women survive the personal and professional challenges, and the changing values of the next decade? The Radiant Way brilliantly explores their loves, losses, hopes and fears, and the strength of their friendship."
